Sequence;Type;Année;Tour;Département;Commune;Numéro du bureau; Code canton;Code circonscription;Indicatif;Nombre d'inscrits;Nombre d'abstentions;Nombre de votants;Nombre de votants d'après les feuilles d'émargement;Nombre de bulletins blancs;Nombre de bulletins nuls;Nombre d'exprimés;Nombre de candidats;Sigle du candidat;Nombre de voix du candidat;Sigle du candidat;Nombre de voix du candidat;ADRESSE;NOM;Geo Shape;pourcentage_participation;geo_point_2d
263;PR;2017;2;31;555;0256;25;09;I;1200;429;771;771;69;29;673;2;LEPE;86;LEPE;86;21 BD DE LA MEDITERRANEE;GROUPE SCOLAIRE ANATOLE FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4551273725, 43.5846604307], [1.4558752482, 43.5856553147], [1.4558442897, 43.5857561328], [1.4563942107, 43.5859718311], [1.4604354311, 43.5876425033], [1.4606232994, 43.5870358679], [1.4611595833, 43.5855575145], [1.4614186432, 43.5849348056], [1.4616166051, 43.5844567089], [1.4616166051, 43.5844567089], [1.461766676, 43.5840973657], [1.4618648452, 43.5839062772], [1.4621486762, 43.5833392824], [1.4623922835, 43.5828447412], [1.4630077999, 43.581820843], [1.4623082793, 43.5816314435], [1.4603030384, 43.582201686], [1.4598632002, 43.5823074828], [1.4587519081, 43.5825675175], [1.4579549004, 43.582780201], [1.4577561347, 43.5829312083], [1.4574942785, 43.5830968968], [1.4563815929, 43.5837104323], [1.45553661, 43.5842550284], [1.4551633663, 43.5845521522], [1.4551273725, 43.5846604307]]]}";64.25;43.5844968465, 1.45918345558
251;PR;2017;2;31;555;0244;25;03;I;1085;285;800;800;76;24;700;2;LEPE;116;LEPE;116;4 IMPASSE TRUTAT;ECOLE LA TERRASSE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4788577052, 43.5898032883], [1.4789123861, 43.5911614865], [1.4789808035, 43.5916127336], [1.480042428, 43.5912792905], [1.482298546, 43.5906076855], [1.4845814716, 43.5899235188], [1.4866313407, 43.5893358736], [1.4871902487, 43.5893319132], [1.4875144103, 43.5894038464], [1.488715783, 43.5897805919], [1.4892685381, 43.5900247489], [1.4892156436, 43.5903937083], [1.4891522396, 43.590766918], [1.4897806548, 43.5913764512], [1.4900462103, 43.591854787], [1.4901335502, 43.5919740454], [1.4904228454, 43.5919581347], [1.4905148383, 43.5922546332], [1.4908227296, 43.5929476736], [1.4914168508, 43.5937494432], [1.4919311542, 43.5937627197], [1.4927703839, 43.5937802282], [1.4935924178, 43.5909273567], [1.4944505727, 43.5882308139], [1.4952965069, 43.5857949225], [1.4915614638, 43.5855098395], [1.4878990852, 43.587326429], [1.4873264653, 43.5875955636], [1.4867480654, 43.5876968381], [1.4866229005, 43.5876442135], [1.4854241227, 43.5880597591], [1.4847584372, 43.588230989], [1.4844496555, 43.5882987821], [1.484148063, 43.5882023294], [1.4816713494, 43.5885809122], [1.4814997935, 43.5882446466], [1.4813682368, 43.5878405499], [1.4814269287, 43.5875512409], [1.4815883282, 43.5872726403], [1.4814766964, 43.5871027399], [1.4812922353, 43.5870746628], [1.4809003722, 43.5871273198], [1.4797434936, 43.5865413007], [1.4797260346, 43.586011676], [1.4804280198, 43.5852544177], [1.4795147703, 43.5853873246], [1.4790569004, 43.5853603129], [1.4790721939, 43.5854570193], [1.4790783101, 43.585566471], [1.4789515679, 43.5856806053], [1.4782550255, 43.5859287776], [1.4778155518, 43.586161033], [1.477561401, 43.5864150277], [1.477369018, 43.5866762688], [1.4773275297, 43.5869201986], [1.477326122, 43.587331929], [1.4774999045, 43.587816735], [1.477604023, 43.5882555913], [1.4777950267, 43.5887599262], [1.4780830237, 43.5892784042], [1.4783542825, 43.5894042134], [1.4786366261, 43.5894400978], [1.4788187573, 43.5895904684], [1.4788577052, 43.5898032883]]]}";73.73271889400922;43.5888793435, 1.48725502442
212;PR;2017;2;31;555;0205;23;02;I;888;334;554;554;40;16;498;2;LEPE;76;LEPE;76;4 BIS RUE REILLE;MATERNELLE REILLE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4610980038, 43.6094291306], [1.4604060369, 43.609733163], [1.4592021754, 43.6101372974], [1.4593241014, 43.6105242639], [1.4593714072, 43.6109380854], [1.4617689305, 43.611984128], [1.4617601909, 43.6125810632], [1.4623281047, 43.6133697896], [1.4629634634, 43.613822211], [1.4648928816, 43.6137623333], [1.4656069437, 43.6132834138], [1.4656876461, 43.6133748623], [1.4658383616, 43.6130410883], [1.4663561575, 43.6122024536], [1.466431503, 43.6118336646], [1.4645886219, 43.6104570983], [1.4639871286, 43.6099784251], [1.4610990837, 43.6093553406], [1.4610980038, 43.6094291306]]]}";62.387387387387385;43.6115568085, 1.46304943773
262;PR;2017;2;31;555;0255;25;09;I;1120;413;707;707;37;26;644;2;LEPE;102;LEPE;102;21 BD DE LA MEDITERRANEE;GROUPE SCOLAIRE ANATOLE FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4585244543, 43.5788126109], [1.4578027237, 43.5783282815], [1.4569937415, 43.5789603229], [1.4566401882, 43.57923653], [1.4550755575, 43.5804913043], [1.4548084273, 43.5806856826], [1.4547524567, 43.5809658307], [1.4575078684, 43.5819007108], [1.4577637163, 43.5825036888], [1.4577037669, 43.5827009016], [1.4577561347, 43.5829312083], [1.4579549004, 43.582780201], [1.4587519081, 43.5825675175], [1.4598632002, 43.5823074828], [1.4603030384, 43.582201686], [1.4623082793, 43.5816314435], [1.4630077999, 43.581820843], [1.4585244543, 43.5788126109]]]}";63.125;43.5807446322, 1.45847100365
232;PR;2017;2;31;555;0225;24;03;I;1116;335;781;781;78;24;679;2;LEPE;130;LEPE;130;20 RUE LUCIEN CASSAGNE;ECOLE ARMAND LEYGUE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4662139185, 43.5910783398], [1.4660772079, 43.5909300805], [1.4657762411, 43.5905039779], [1.4657268664, 43.5903535557], [1.4651707211, 43.5905223001], [1.4644088743, 43.5907357423], [1.463695507, 43.5910042036], [1.4628499411, 43.5912406904], [1.4623130763, 43.5914329434], [1.4614353671, 43.5918734807], [1.4613072527, 43.5918792164], [1.4604488397, 43.5918194183], [1.4603503118, 43.5922757099], [1.4603353248, 43.592326793], [1.4602736533, 43.5925561418], [1.4604578208, 43.5926398325], [1.4619322121, 43.5925308381], [1.4620466603, 43.5924240448], [1.4621258025, 43.5929802171], [1.4631720411, 43.592858739], [1.4632903029, 43.5933409612], [1.4641604962, 43.5931832879], [1.4652543331, 43.5930218049], [1.4655660944, 43.5940247056], [1.4647119466, 43.5945735095], [1.4638504272, 43.595536648], [1.4635648008, 43.5957750934], [1.4629049803, 43.5960349824], [1.4629157661, 43.5964069296], [1.4634455592, 43.596649567], [1.4644821844, 43.5964914225], [1.4648994457, 43.5965334265], [1.4650642746, 43.5968355661], [1.4654354087, 43.5969169528], [1.4655927821, 43.5968724803], [1.46617178, 43.5958830404], [1.4671086018, 43.594847162], [1.4677453518, 43.5947134407], [1.4689475622, 43.5943164197], [1.4696597915, 43.5941430693], [1.4698404435, 43.5939965266], [1.4693190097, 43.5939896218], [1.4685886555, 43.5941424207], [1.4668033816, 43.5929069717], [1.4668800862, 43.5928199824], [1.4672977562, 43.5925073454], [1.4678269808, 43.5922029555], [1.4682065588, 43.5919236572], [1.4688931324, 43.5914599577], [1.4671593646, 43.5917151241], [1.4666817336, 43.591898788], [1.4662139185, 43.5910783398]]]}";69.98207885304659;43.5933209847, 1.46508441634
221;PR;2017;2;31;555;0214;23;02;I;1235;389;846;846;77;25;744;2;LEPE;130;LEPE;130;133 RUE LOUIS PLANA;ECOLE LA JUNCASSE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4613989607, 43.6186911397], [1.4618161306, 43.6191167846], [1.4624047085, 43.6196245269], [1.4627696848, 43.6199137271], [1.4630450145, 43.620145555], [1.4629008814, 43.6203578874], [1.4627238695, 43.6204983657], [1.4637205403, 43.6213384354], [1.4639386245, 43.6219547103], [1.4640108559, 43.6222272857], [1.4667191095, 43.6216831557], [1.4669973044, 43.6215932804], [1.4671089948, 43.6216816545], [1.4676118911, 43.6220689947], [1.4681267938, 43.6224316652], [1.468232268, 43.6225428358], [1.4679728713, 43.6227327836], [1.4678166431, 43.622871397], [1.4682669073, 43.6228966074], [1.4690255013, 43.6233925173], [1.4691196185, 43.6233113083], [1.46923519, 43.6231642978], [1.4698870056, 43.6227104837], [1.4702969527, 43.6225169168], [1.4708824703, 43.6225526889], [1.4713609132, 43.622704754], [1.4715415426, 43.6227323661], [1.4720030879, 43.6222014036], [1.4715953381, 43.6219390548], [1.4700586489, 43.6211240486], [1.4691646005, 43.6206299488], [1.4687623457, 43.6203496542], [1.4687488473, 43.6199342018], [1.4690776311, 43.6196235524], [1.466001224, 43.6176812005], [1.4655179877, 43.6172413201], [1.4652321122, 43.6165739938], [1.4650502808, 43.6159159826], [1.4642934452, 43.6165563624], [1.4636535575, 43.6168570298], [1.4651198616, 43.6178409444], [1.4639665864, 43.6187848109], [1.4633852014, 43.618645037], [1.4623926031, 43.618306231], [1.4610170949, 43.617882153], [1.4594670137, 43.6175545955], [1.4596075318, 43.6175953197], [1.4608298516, 43.6179644781], [1.4613989607, 43.6186911397]]]}";68.50202429149797;43.620160786, 1.46625168991
259;PR;2017;2;31;555;0252;25;03;I;1019;316;703;703;51;16;636;2;LEPE;223;LEPE;223;21 BD DE LA MEDITERRANEE;GROUPE SCOLAIRE ANATOLE FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4745088979, 43.5867198232], [1.4738599895, 43.5862420151], [1.472825841, 43.5853892383], [1.4730612447, 43.5852216825], [1.4725628031, 43.5847675269], [1.472327893, 43.5849909083], [1.4716153753, 43.5844007589], [1.4706986562, 43.583621712], [1.4685634568, 43.584475799], [1.4685329546, 43.5845948922], [1.468136823, 43.5850058244], [1.4673893352, 43.5855297154], [1.4669201107, 43.5858763425], [1.4659018114, 43.5862790114], [1.4667230045, 43.587284003], [1.468190051, 43.5866431069], [1.4685855772, 43.5869943421], [1.4691882285, 43.5866377315], [1.4688679582, 43.5863470227], [1.469595157, 43.5859213736], [1.4696954676, 43.5859348822], [1.4701138537, 43.5863036095], [1.4712849363, 43.5873202697], [1.4710769242, 43.5874514494], [1.4699497764, 43.5881802353], [1.470001409, 43.588238822], [1.4707914415, 43.5888540349], [1.4713067489, 43.5893109446], [1.471789981, 43.5889478346], [1.4725324997, 43.5884983013], [1.4728729809, 43.5882403216], [1.4738255036, 43.5873342014], [1.4745088979, 43.5867198232]]]}";68.9892051030422;43.5862542911, 1.47066778771
253;PR;2017;2;31;555;0246;25;03;I;885;230;655;655;49;17;589;2;LEPE;111;LEPE;111;4 IMPASSE TRUTAT;ECOLE LA TERRASSE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4814269287, 43.5875512409], [1.4813682368, 43.5878405499], [1.4814997935, 43.5882446466], [1.4816713494, 43.5885809122], [1.484148063, 43.5882023294], [1.4844496555, 43.5882987821], [1.4847584372, 43.588230989], [1.4854241227, 43.5880597591], [1.4866229005, 43.5876442135], [1.4867480654, 43.5876968381], [1.4873264653, 43.5875955636], [1.4878990852, 43.587326429], [1.4915614638, 43.5855098395], [1.4925433806, 43.5842739668], [1.4919756638, 43.5840152254], [1.4917745129, 43.583789492], [1.4915815556, 43.583536383], [1.4918549804, 43.5832526986], [1.4908644614, 43.5827977813], [1.490292673, 43.5833791562], [1.4899892422, 43.5838508959], [1.4894690446, 43.5846483665], [1.4888845998, 43.5852022074], [1.4880732203, 43.5856048478], [1.4870719849, 43.5858111662], [1.4861193721, 43.586167323], [1.4852160257, 43.5867187445], [1.4847652622, 43.5860171154], [1.4843784182, 43.5855169737], [1.4821326535, 43.586648636], [1.4812922353, 43.5870746628], [1.4814766964, 43.5871027399], [1.4815883282, 43.5872726403], [1.4814269287, 43.5875512409]]]}";74.01129943502825;43.5862487684, 1.48692053514
260;PR;2017;2;31;555;0253;25;03;I;1127;314;813;813;70;13;730;2;LEPE;123;LEPE;123;21 BD DE LA MEDITERRANEE;GROUPE SCOLAIRE ANATOLE FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4604488397, 43.5918194183], [1.4613072527, 43.5918792164], [1.4614353671, 43.5918734807], [1.4623130763, 43.5914329434], [1.4628499411, 43.5912406904], [1.463695507, 43.5910042036], [1.4644088743, 43.5907357423], [1.4651707211, 43.5905223001], [1.4657268664, 43.5903535557], [1.4658576152, 43.5903139022], [1.4658675877, 43.5902475684], [1.4651755782, 43.5890057651], [1.4645310103, 43.588253824], [1.4660993727, 43.5875566239], [1.4667230045, 43.587284003], [1.4659018114, 43.5862790114], [1.4669201107, 43.5858763425], [1.4673893352, 43.5855297154], [1.468136823, 43.5850058244], [1.4685329546, 43.5845948922], [1.4685634568, 43.584475799], [1.465276073, 43.5857930913], [1.4628950771, 43.5868003363], [1.4630315635, 43.5874362369], [1.4616750395, 43.5897645832], [1.4611468606, 43.5906328255], [1.4606484768, 43.5916876814], [1.4604488397, 43.5918194183]]]}";72.13842058562555;43.5886112377, 1.46400994315
229;PR;2017;2;31;555;0222;24;04;I;395;139;256;256;14;5;237;2;LEPE;40;LEPE;40;20 RUE LUCIEN CASSAGNE;ECOLE ARMAND LEYGUE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4569475959, 43.5946493825], [1.4575684467, 43.5947532226], [1.4575762681, 43.5975051954], [1.457579395, 43.5980568233], [1.4565401804, 43.598457548], [1.4566335626, 43.5978290432], [1.4566655297, 43.5950204617], [1.4567901457, 43.5946834824], [1.4568606916, 43.5946102935], [1.4569475959, 43.5946493825]]]}";64.81012658227849;43.5965060715, 1.45709930497
